secretID,Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
a664e8539331cb3859bbb27a0bd84ca0a94390ad6235071451551b40f5c92c10,1,1/13/2022 9:38 AM,1/13/2022 9:40 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
a664e8539331cb3859bbb27a0bd84ca0a94390ad6235071451551b40f5c92c10,1,1/13/2022 9:38 AM,1/13/2022 9:40 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
a664e8539331cb3859bbb27a0bd84ca0a94390ad6235071451551b40f5c92c10,1,1/13/2022 9:38 AM,1/13/2022 9:40 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,Checked,0,1
a664e8539331cb3859bbb27a0bd84ca0a94390ad6235071451551b40f5c92c10,1,1/13/2022 9:38 AM,1/13/2022 9:40 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
a664e8539331cb3859bbb27a0bd84ca0a94390ad6235071451551b40f5c92c10,1,1/13/2022 9:38 AM,1/13/2022 9:40 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
a664e8539331cb3859bbb27a0bd84ca0a94390ad6235071451551b40f5c92c10,1,1/13/2022 9:38 AM,1/13/2022 9:40 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,Checked,0,1
a664e8539331cb3859bbb27a0bd84ca0a94390ad6235071451551b40f5c92c10,1,1/13/2022 9:38 AM,1/13/2022 9:40 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
a664e8539331cb3859bbb27a0bd84ca0a94390ad6235071451551b40f5c92c10,1,1/13/2022 9:38 AM,1/13/2022 9:40 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
a664e8539331cb3859bbb27a0bd84ca0a94390ad6235071451551b40f5c92c10,1,1/13/2022 9:38 AM,1/13/2022 9:40 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,Checked,1,1
a664e8539331cb3859bbb27a0bd84ca0a94390ad6235071451551b40f5c92c10,1,1/13/2022 9:38 AM,1/13/2022 9:40 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,UnChecked,1,1
